subject_id,lab_subject_id,age,sex
13,070512_08,2.9,Male
14,070512_09,0.99,Male
15,070512_10,4.05,Male
16,070512_12,5,Male
17,070512_13,3.14,Female
18,070512_14,1.63,Male
19,070512_15,4.67,Male
20,070512_16,1.95,Male
21,070912_02,3.3,Male
22,070912_04,1.53,Female
23,070912_05,4.67,Female
24,070912_06,3.02,Female
25,070912_07,NA,NA
26,070912_08,4.33,Female
27,070912_11,1.53,Male
28,070912_12,3.12,Male
29,070912_15,4.54,Male
30,071012_01,2.05,Male
31,071012_04,3.35,Male
32,071012_05 (1),0.93,Male
33,071012_06,2.73,Male
34,071012_07,1.19,Male
35,071012_08,2.05,Female
36,071012_09,4.2,Male
37,071012_10,2.24,Male
38,071112_01,2.08,Female
39,071112_02,1.83,Female
40,071112_03,2.57,Female
41,071112_04,3.25,Female
42,071112_05,3.42,Male
43,071112_06,1.51,Male
44,071112_07,3.05,Male
45,071112_08,4.57,Male
46,071112_09,4.22,Male
47,071112_10,1.1,Male
48,071112_11,3.56,Male
49,071112_12,1.02,Male
50,071112_13,1.37,NA
51,071112_14,1.26,Female
52,071212_01,1.92,Male
53,071212_02,4.87,Female
54,071212_03,2.22,Female
55,071212_05 (1),3.88,Male
56,071212_06,2.91,Male
57,071212_08,3.79,Female
58,071212_09,4.09,Female
59,071212_10,4,Male
60,071212_11,4.34,Male
61,071612_01,3.62,Female
62,071612_02,2.32,Female
63,071612_03,3.65,Male
64,071612_05,2.39,Male
65,071612_08,1.33,Female
66,071612_09,3.43,Male
67,071612_11,2.94,Female
68,071612_12,2.43,Female
69,071612_16,3.31,Female
70,071612_17,2.63,Male
71,071612_18,2.1,Male
72,071612_19,2.83,Male
73,071612_20,1.97,Male
74,071712_01,3.56,Female
75,071712_02,1.94,Female
76,071712_03,2.32,Male
77,071712_04,3.03,Male
78,071712_05,1.55,Male
79,071712_06,1.84,Male
80,071712_09,2.22,Female
81,071812_04,4.75,Female
82,071812_06,3.96,Female
83,071812_07,2.4,Female
84,071812_08,0.7,Male
85,071812_10,1.31,Female
