sub_id,x,y,t,trial_id
052212_2,NA,NA,14507.534,1
052212_2,NA,NA,14557.282,1
052212_2,NA,NA,14607.242,1
052212_2,NA,NA,14657.257,1
052212_2,NA,NA,14707.369,1
052212_2,NA,NA,14757.443,1
052212_2,NA,NA,14807.361,1
052212_2,NA,NA,14857.575,1
052212_2,NA,NA,14907.677,1
052212_2,NA,NA,14957.48,1
052212_2,NA,NA,15007.461,1
052212_2,NA,NA,15057.476,1
052212_2,NA,NA,15107.53,1
052212_2,NA,NA,15157.511,1
052212_2,NA,NA,15207.74,1
052212_2,NA,NA,15257.814,1
052212_2,NA,NA,15307.673,1
052212_2,NA,NA,15357.607,1
052212_2,NA,NA,15407.67,1
052212_2,NA,NA,15457.797,1
052212_2,NA,NA,15507.778,1
052212_2,NA,NA,15557.731,1
052212_2,NA,NA,15607.752,1
052212_2,NA,NA,15658.065,1
052212_2,NA,NA,15708.108,1
052212_2,NA,NA,15757.905,1
052212_2,NA,NA,15808.044,1
052212_2,NA,NA,15857.833,1
052212_2,NA,NA,15907.947,1
052212_2,NA,NA,15957.957,1
052212_2,NA,NA,16007.983,1
052212_2,NA,NA,16058.099,1
052212_2,NA,NA,16108.268,1
052212_2,NA,NA,16158.031,1
052212_2,NA,NA,16208.045,1
052212_2,NA,NA,16258.07,1
052212_2,NA,NA,16308.093,1
052212_2,NA,NA,16358.082,1
052212_2,NA,NA,16408.032,1
052212_2,NA,NA,16458.447,1
052212_2,NA,NA,16508.343,1
052212_2,NA,NA,16558.183,1
052212_2,NA,NA,16608.245,1
052212_2,NA,NA,16658.231,1
052212_2,NA,NA,16708.332,1
052212_2,NA,NA,16758.323,1
052212_2,NA,NA,16808.336,1
052212_2,NA,NA,16858.324,1
052212_2,NA,NA,16908.441,1
052212_2,NA,NA,16958.451,1
052212_2,NA,NA,17008.435,1
052212_2,NA,NA,17058.467,1
052212_2,NA,NA,17108.426,1
052212_2,NA,NA,17158.441,1
052212_2,NA,NA,17208.524,1
052212_2,NA,NA,17258.748,1
052212_2,NA,NA,17308.903,1
