"sub_id","t","aoi","trial_id",""
"lmu_child01",1558583467567206,NA,"trial_sequence_A",NA
"lmu_child01",1558583467583580,NA,"trial_sequence_A",NA
"lmu_child01",1558583467600331,NA,"trial_sequence_A",NA
"lmu_child01",1558583467616700,NA,"trial_sequence_A",NA
"lmu_child01",1558583467633820,NA,"trial_sequence_A",NA
"lmu_child01",1558583467650442,NA,"trial_sequence_A",NA
"lmu_child01",1558583467667108,NA,"trial_sequence_A",NA
"lmu_child01",1558583467683520,NA,"trial_sequence_A",NA
"lmu_child01",1558583467700186,NA,"trial_sequence_A",NA
"lmu_child01",1558583467716931,NA,"trial_sequence_A",NA
"lmu_child01",1558583467733597,NA,"trial_sequence_A",NA
"lmu_child01",1558583467750196,NA,"trial_sequence_A",NA
"lmu_child01",1558583467766862,NA,"trial_sequence_A",NA
"lmu_child01",1558583467783576,NA,"trial_sequence_A",NA
"lmu_child01",1558583467800242,NA,"trial_sequence_A",NA
"lmu_child01",1558583467816839,NA,"trial_sequence_A",NA
"lmu_child01",1558583467833505,NA,"trial_sequence_A",NA
"lmu_child01",1558583467850171,NA,"trial_sequence_A",NA
"lmu_child01",1558583467866854,NA,"trial_sequence_A",NA
"lmu_child01",1558583467883520,NA,"trial_sequence_A",NA
"lmu_child01",1558583467900085,NA,"trial_sequence_A",NA
"lmu_child01",1558583467916751,NA,"trial_sequence_A",NA
"lmu_child01",1558583467933446,NA,"trial_sequence_A",NA
"lmu_child01",1558583467950112,NA,"trial_sequence_A",NA
"lmu_child01",1558583467966561,NA,"trial_sequence_A",NA
"lmu_child01",1558583467983227,NA,"trial_sequence_A",NA
"lmu_child01",1558583467999776,NA,"trial_sequence_A",NA
"lmu_child01",1558583468016761,NA,"trial_sequence_A",NA
"lmu_child01",1558583468033009,NA,"trial_sequence_A",NA
"lmu_child01",1558583468050002,NA,"trial_sequence_A",NA
"lmu_child01",1558583468066263,NA,"trial_sequence_A",NA
"lmu_child01",1558583468083263,NA,"trial_sequence_A",NA
