"sub_id","x","y","t","tria_id"
"lmu_child01",NA,NA,1558583466983544,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467000070,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467016736,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467033335,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467050001,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467066667,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467083221,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467099887,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467116773,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467133439,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467150423,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467167089,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467183755,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467201019,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467217259,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467233888,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467250554,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467267139,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467283819,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467300485,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467317155,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467333821,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467350487,"trial_sequence_A"
"lmu_child01",NA,NA,NA,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467367195,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467383861,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467400527,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467417220,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467433886,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467450552,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467467067,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467483733,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467500399,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467517245,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467533911,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467550708,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467567206,"trial_sequence_A"
"lmu_child01",1772,877,1558583467583580,"trial_sequence_A"
"lmu_child01",1646,866,1558583467600331,"trial_sequence_A"
"lmu_child01",1616,878,1558583467616700,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467633820,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467650442,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467667108,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467683520,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467700186,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467716931,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467733597,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467750196,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467766862,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467783576,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467800242,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467816839,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467833505,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467850171,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467866854,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467883520,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467900085,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467916751,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467933446,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467950112,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467966561,"trial_sequence_A"
"lmu_child01",NA,NA,1558583467983227,"trial_sequence_A"
"lmu_child01",1209,634,1558583467999776,"trial_sequence_A"
"lmu_child01",972,589,1558583468016761,"trial_sequence_A"
"lmu_child01",760,531,1558583468033009,"trial_sequence_A"
"lmu_child01",706,528,1558583468050002,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468066263,"trial_sequence_A"
"lmu_child01",703,526,1558583468083263,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468099510,"trial_sequence_A"
"lmu_child01",704,524,1558583468116629,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468132753,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468149433,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468166099,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468182739,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468199361,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468216027,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468232615,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468249231,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468265897,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468282751,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468299417,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468315947,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468332613,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468349348,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468366014,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468382546,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468399212,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468415698,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468432570,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468449236,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468465961,"trial_sequence_A"
"lmu_child01",NA,NA,1558583468482627,"trial_sequence_A"
"lmu_child01",331,224,1558583468499312,"trial_sequence_A"
"lmu_child01",328,227,1558583468515932,"trial_sequence_A"
"lmu_child01",328,227,1558583468532555,"trial_sequence_A"
"lmu_child01",329,234,1558583468549302,"trial_sequence_A"
"lmu_child01",328,231,1558583468565924,"trial_sequence_A"
"lmu_child01",328,229,1558583468582547,"trial_sequence_A"
"lmu_child01",330,232,1558583468599173,"trial_sequence_A"
"lmu_child01",332,232,1558583468615793,"trial_sequence_A"
"lmu_child01",332,232,1558583468632542,"trial_sequence_A"
"lmu_child01",332,227,1558583468649163,"trial_sequence_A"
"lmu_child01",333,232,1558583468665786,"trial_sequence_A"
"lmu_child01",332,227,1558583468682409,"trial_sequence_A"
"lmu_child01",333,231,1558583468699034,"trial_sequence_A"
